,Pair,Long Short Band,Foil Decay Band,Leverage,Gross return %,Net return %,Borrow paid ($),Max drawdown %,Worst day %,Trades,Rate source,Shares available,Borrow rate (used) %,Breakeven borrow rate % (annualized),Min margin cushion ($),Stopped,De-risks
141,TNA / IWM,0.01,0.075,3,7.743066708060106,4.367986628312867,337.50800797472397,-0.9491206020564885,-0.9302778449295063,449,live,150000,5.3332999999999995,12.235590474401322,2045.6670586341716,False,0
142,TNA / IWM,0.01,0.1,3,7.82868730204991,4.445989351767645,338.26979502822644,-0.9837017126844705,-0.9641724216572322,448,live,150000,5.3332999999999995,12.34302873082083,1834.753022255577,False,0
143,TNA / IWM,0.01,0.015,3,7.8059498822223325,4.4387682538833895,336.71816283389427,-0.9157746444031124,-0.8984422849718202,450,live,150000,5.3332999999999995,12.363892745338317,2451.1988196989923,False,0
144,TNA / IWM,0.025,0.01,3,7.880853618040643,4.513268721659288,336.75848963813536,-0.9158445750704572,-0.8984422849718202,402,live,150000,5.3332999999999995,12.481038457637847,2476.622840199758,False,0
145,TNA / IWM,0.025,0.025,3,7.863902778145277,4.49696781816834,336.6934959976936,-0.9166402135375784,-0.8984422849718202,379,live,150000,5.3332999999999995,12.456597227220986,2370.79488615256,False,0
146,TNA / IWM,0.025,0.05,3,7.861212361535311,4.487843535924566,337.33688256107445,-0.9442275461450907,-0.9254819301653436,377,live,150000,5.3332999999999995,12.428585801075432,2202.039769908488,False,0
147,TNA / IWM,0.025,0.075,3,7.786559159215633,4.4114790794683945,337.50800797472385,-0.9491206020564885,-0.9302778449295063,368,live,150000,5.3332999999999995,12.304317225846326,2044.7906823989706,False,0
148,TNA / IWM,0.025,0.1,3,7.8788825075328015,4.496184557250538,338.26979502822644,-0.9837017126844705,-0.9641724216572322,373,live,150000,5.3332999999999995,12.422168545648097,1835.7748926789254,False,0
149,TNA / IWM,0.025,0.015,3,7.844217450797299,4.477035822458356,336.7181628338942,-0.9157746444031118,-0.8984422849718198,377,live,150000,5.3332999999999995,12.424504986080894,2476.474204899452,False,0
150,TNA / IWM,0.05,0.01,3,7.874909379161338,4.5073244827799845,336.75848963813536,-0.9217888139497609,-0.9032437039111255,400,live,150000,5.3332999999999995,12.47162446803092,2476.622840199758,False,0
151,TNA / IWM,0.05,0.025,3,7.812715084302285,4.445780124325349,336.6934959976936,-0.9170408765514452,-0.9032437039111255,263,live,150000,5.3332999999999995,12.375514779588945,2410.1382315559813,False,0
152,TNA / IWM,0.05,0.05,3,8.019519390893056,4.646150565282311,337.33688256107445,-0.9446402675692951,-0.9304278532833974,268,live,150000,5.3332999999999995,12.678869396887343,2207.9970531596755,False,0
153,TNA / IWM,0.05,0.075,3,7.782990503503114,4.407910423755874,337.5080079747239,-0.9495354622331694,-0.9352493981813654,262,live,150000,5.3332999999999995,12.29867803771986,2050.920238509105,False,0
